country,moderate,severe,some or severe,none
Austria,7.7,29.7,13.8,2.3
Belgium,18,37.1,23.1,5
Bulgaria,10.8,33.2,16.4,1.5
Croatia,11.2,29.9,17,2.2
Cyprus,7.1,22.9,13.1,0.8
Czechia,7,22.7,10.7,1.6
Denmark,11.9,45.9,16.2,5.2
Estonia,11.1,25.8,15.2,3.6
Finland,9.7,25,11.8,4.1
France,16.9,29.2,21.1,7.5
Germany,14.2,36,19.1,3.7
Greece,4.5,22.2,12.9,1.3
Hungary,11.7,27.7,15.6,1.9
Ireland,11.3,31.6,16.7,2.7
Italy,7,28.5,12.5,1.8
Latvia,7.3,23.4,10.1,2
Lithuania,11.8,35.2,17.3,2.8
Luxembourg,14.8,40.4,19.5,5.7
Malta,13.1,33.9,18.5,6.6
Netherlands,12,40.3,17.4,4.2
Poland,9.4,26.8,13.7,2.1
Portugal,17.7,39.5,22.9,3.5
Romania,9.4,45.2,17.9,1.1
Slovakia,3.8,19.3,9,0.8
Slovenia,11,30.2,15.6,4
Spain,11.3,29.8,14.3,2.2
Sweden,17.8,39.7,23.5,5.4
