country,levels 0-2,levels 3 and 4,levels 5-8
Austria,9.8,5.2,3.7
Belgium,12.4,9.0,6.5
Bulgaria,7.6,3.9,2.9
Croatia,14.1,7.4,5.3
Cyprus,5.3,1.9,1.2
Czechia,6.8,4.3,1.9
Denmark,14.6,8.9,4.8
Estonia,11.4,8.3,6.1
Finland,8.8,7.6,3.5
France,13.4,9.9,7.1
Germany,13.3,9.5,5.0
Greece,5.0,1.9,1.0
Hungary,10.6,4.5,3.1
Ireland,7.4,4.7,3.4
Italy,5.6,3.2,2.5
Latvia,8.4,5.5,4.4
Lithuania,8.5,5.4,4.7
Luxembourg,11.6,10.5,5.7
Malta,10.9,7.7,5.4
Netherlands,10.5,7.8,6.0
Poland,8.7,4.5,3.8
Portugal,11.2,4.8,4.3
Romania,7.7,2.9,1.4
Slovakia,7.5,3.0,1.2
Slovenia,12.5,8.3,5.5
Spain,6.4,4.1,2.7
Sweden,12.8,10.5,8.4

