Country/area,Ages 5-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70+,All ages,
Austria,0.46%,2.47%,3.67%,3.99%,4.32%,4.83%,5.39%,6.00%,6.52%,7.04%,7.50%,7.83%,8.57%,5.05%,
Belgium,0.44%,2.32%,3.62%,4.31%,4.88%,5.42%,5.92%,6.32%,6.62%,6.90%,7.22%,7.51%,8.07%,5.18%,
Bulgaria,0.37%,1.89%,2.80%,3.07%,3.28%,3.56%,3.91%,4.29%,4.63%,4.95%,5.28%,5.59%,6.16%,3.80%,
Croatia,0.46%,2.63%,4.17%,4.67%,5.12%,5.71%,6.29%,6.77%,7.17%,7.55%,7.82%,7.88%,7.99%,5.47%,
Cyprus,1.73%,4.82%,6.00%,6.12%,6.23%,6.54%,6.83%,7.01%,7.19%,7.35%,7.44%,7.35%,7.34%,5.96%,
Czechia,1.39%,5.24%,6.66%,6.97%,7.13%,7.22%,7.25%,7.28%,7.29%,7.29%,7.27%,7.23%,7.33%,6.23%,
Denmark,1.26%,4.57%,5.70%,5.86%,6.08%,6.59%,6.84%,6.72%,6.58%,6.41%,6.37%,6.48%,7.02%,5.65%,
Estonia,0.39%,2.20%,3.37%,3.61%,3.79%,4.06%,4.46%,5.02%,5.52%,5.97%,6.26%,6.39%,6.91%,4.34%,
Finland,0.41%,2.14%,3.20%,3.37%,3.53%,3.86%,4.27%,4.73%,5.14%,5.51%,5.83%,6.11%,6.72%,4.12%,
France,0.39%,1.93%,2.87%,3.09%,3.34%,3.83%,4.33%,4.79%,5.19%,5.60%,5.89%,5.94%,6.12%,3.97%,
Germany,0.38%,2.09%,3.16%,3.39%,3.59%,3.90%,4.27%,4.67%,5.00%,5.33%,5.57%,5.63%,5.86%,3.88%,
Greece,0.36%,1.89%,2.86%,3.15%,3.37%,3.68%,4.05%,4.45%,4.79%,5.11%,5.36%,5.43%,5.70%,3.60%,
Hungary,0.88%,3.70%,4.68%,4.97%,5.18%,5.42%,5.55%,5.50%,5.41%,5.33%,5.28%,5.31%,5.60%,4.64%,
Ireland,0.86%,4.40%,6.32%,6.37%,6.40%,6.68%,6.78%,6.58%,6.33%,6.08%,5.87%,5.69%,5.50%,5.09%,
Italy,1.02%,4.51%,6.22%,6.11%,5.98%,6.05%,6.07%,6.03%,5.98%,5.93%,5.85%,5.69%,5.46%,4.74%,
Latvia,1.04%,3.86%,4.90%,5.11%,5.48%,6.32%,6.69%,6.34%,5.96%,5.57%,5.31%,5.24%,5.33%,4.64%,
Lithuania,0.38%,1.94%,2.88%,3.11%,3.32%,3.65%,3.99%,4.32%,4.59%,4.87%,5.07%,5.11%,5.22%,3.52%,
Luxembourg,0.97%,3.44%,4.34%,4.52%,4.79%,5.41%,5.73%,5.55%,5.36%,5.18%,5.06%,5.01%,4.98%,4.24%,
Malta,0.95%,3.76%,4.98%,5.06%,5.12%,5.36%,5.44%,5.24%,5.03%,4.82%,4.74%,4.81%,4.98%,4.38%,
Netherlands,1.13%,5.09%,7.04%,6.33%,5.81%,6.02%,6.09%,5.91%,5.69%,5.47%,5.30%,5.15%,4.97%,4.87%,
Poland,0.92%,3.47%,4.36%,4.50%,4.61%,4.81%,4.88%,4.79%,4.68%,4.58%,4.56%,4.58%,4.78%,3.94%,
Portugal,1.01%,3.68%,4.67%,4.79%,4.94%,5.34%,5.51%,5.31%,5.10%,4.89%,4.73%,4.65%,4.66%,4.18%,
Romania,0.92%,3.63%,4.74%,4.90%,5.16%,5.76%,6.02%,5.70%,5.36%,5.01%,4.76%,4.64%,4.50%,4.26%,
Slovakia,0.97%,3.54%,4.21%,4.36%,4.40%,4.54%,4.58%,4.52%,4.45%,4.37%,4.32%,4.30%,4.35%,3.82%,
Slovenia,0.96%,3.52%,4.18%,4.30%,4.41%,4.57%,4.63%,4.56%,4.45%,4.35%,4.28%,4.24%,4.22%,3.74%,
Spain,0.82%,3.08%,3.98%,4.18%,4.31%,4.53%,4.62%,4.48%,4.33%,4.19%,4.12%,4.08%,4.12%,3.67%,
Sweden,0.26%,1.52%,2.44%,2.79%,3.06%,3.37%,3.63%,3.77%,3.82%,3.85%,3.82%,3.70%,3.55%,2.85%,
