Country/area,Ages 5-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70+,All ages
Austria,0.63%,3.33%,4.83%,5.41%,5.87%,6.40%,7.00%,7.77%,8.52%,9.26%,9.93%,10.43%,11.06%,3.84%
Belgium,0.62%,3.32%,4.84%,5.50%,5.99%,6.49%,7.08%,7.83%,8.58%,9.22%,9.83%,10.20%,10.77%,3.19%
Croatia,0.41%,2.43%,3.94%,4.68%,5.22%,5.59%,6.02%,6.49%,6.89%,7.27%,7.60%,7.86%,8.38%,5.33%
Cyprus,0.58%,2.79%,3.91%,4.48%,4.90%,5.28%,5.59%,5.82%,6.00%,6.15%,6.45%,7.04%,8.23%,3.12%
Czechia,0.48%,3.02%,4.90%,5.44%,5.88%,6.40%,6.82%,7.05%,7.17%,7.23%,7.34%,7.55%,8.18%,4.43%
Denmark,0.49%,2.36%,3.49%,4.16%,4.90%,5.87%,6.65%,7.15%,7.65%,8.14%,8.51%,8.54%,8.14%,4.06%
Estonia,1.43%,5.33%,6.76%,7.10%,7.31%,7.50%,7.61%,7.63%,7.64%,7.64%,7.59%,7.47%,7.42%,6.44%
Finland,0.58%,3.72%,5.80%,5.77%,5.87%,6.48%,6.91%,7.03%,7.10%,7.16%,7.22%,7.20%,7.15%,4.78%
France,0.45%,2.41%,3.49%,3.62%,3.71%,3.92%,4.26%,4.75%,5.21%,5.62%,6.03%,6.39%,7.06%,3.04%
Germany,0.44%,2.48%,3.66%,3.80%,3.90%,4.14%,4.50%,5.02%,5.46%,5.88%,6.23%,6.45%,6.90%,3.21%
Greece,0.32%,1.49%,2.06%,2.44%,2.88%,3.39%,4.01%,4.70%,5.35%,5.93%,6.45%,6.70%,6.73%,3.58%
Hungary,0.39%,2.26%,3.61%,3.94%,4.17%,4.43%,4.71%,5.02%,5.33%,5.65%,5.89%,5.97%,6.17%,3.39%
Ireland,0.37%,2.41%,4.09%,4.59%,5.02%,5.49%,5.80%,5.85%,5.88%,5.89%,5.91%,5.92%,5.99%,3.74%
Italy,0.39%,2.03%,3.06%,3.32%,3.53%,3.84%,4.19%,4.54%,4.82%,5.07%,5.27%,5.48%,5.88%,3.54%
Latvia,0.92%,4.06%,5.42%,6.03%,6.42%,6.68%,6.73%,6.51%,6.26%,5.99%,5.80%,5.72%,5.61%,5.00%
Lithuania,1.11%,4.27%,5.45%,5.82%,6.13%,6.44%,6.36%,6.24%,6.01%,5.83%,5.74%,5.68%,5.56%,5.13%
Luxembourg,0.40%,2.71%,4.38%,4.38%,4.50%,5.03%,5.49%,5.78%,6.05%,6.29%,6.33%,6.01%,5.52%,3.96%
Malta,0.45%,2.42%,3.56%,3.64%,3.81%,4.26%,4.59%,4.79%,4.96%,5.14%,5.27%,5.29%,5.42%,3.99%
Netherlands,0.49%,2.49%,3.24%,3.26%,3.42%,3.89%,4.41%,4.85%,5.17%,5.42%,5.54%,5.41%,5.08%,3.13%
Poland,0.89%,3.77%,4.61%,4.60%,4.80%,5.67%,5.81%,5.80%,5.71%,5.67%,5.47%,5.20%,4.71%,4.65%
Portugal,0.44%,2.78%,4.28%,4.14%,4.08%,4.38%,4.66%,4.86%,5.01%,5.15%,5.17%,4.99%,4.69%,3.13%
Romania,0.48%,2.44%,3.27%,3.33%,3.54%,4.06%,4.58%,4.94%,5.15%,5.31%,5.37%,5.16%,4.64%,2.82%
Slovakia,0.41%,2.22%,3.30%,3.39%,3.54%,3.77%,4.36%,4.22%,4.80%,4.60%,4.85%,4.60%,4.35%,3.08%
Slovenia,0.40%,2.11%,3.03%,3.15%,3.33%,3.67%,4.03%,4.31%,4.47%,4.59%,4.66%,4.57%,4.28%,2.32%
Spain,0.49%,2.58%,3.58%,3.50%,3.60%,4.08%,4.50%,4.68%,4.73%,4.70%,4.64%,4.48%,4.07%,3.13%
Sweden,0.37%,1.79%,2.45%,2.73%,3.06%,3.54%,3.98%,4.24%,4.38%,4.44%,4.42%,4.22%,3.78%,2.58%
